Document_ID,Status,In_SAP,In_PDF,Is_Duplicate,File_Path
26203392,MISSING_PDF,YES,NO,NO,
26300188,MISSING_PDF,YES,NO,NO,
26300216,MISSING_PDF,YES,NO,NO,
26300217,MISSING_PDF,YES,NO,NO,
26300229,MISSING_PDF,YES,NO,NO,
26300237,MISSING_PDF,YES,NO,NO,
26300238,MISSING_PDF,YES,NO,NO,
26300241,MISSING_PDF,YES,NO,NO,
26300244,MISSING_PDF,YES,NO,NO,
26300245,MISSING_PDF,YES,NO,NO,
26300246,MISSING_PDF,YES,NO,NO,
26300247,MISSING_PDF,YES,NO,NO,
26300248,MISSING_PDF,YES,NO,NO,
26300249,MISSING_PDF,YES,NO,NO,
26300250,MISSING_PDF,YES,NO,NO,
26300251,MISSING_PDF,YES,NO,NO,
26300252,MISSING_PDF,YES,NO,NO,
26300253,MISSING_PDF,YES,NO,NO,
26300254,MISSING_PDF,YES,NO,NO,
26300255,MISSING_PDF,YES,NO,NO,
26300256,MISSING_PDF,YES,NO,NO,
26300257,MISSING_PDF,YES,NO,NO,
26300258,MISSING_PDF,YES,NO,NO,
26300259,MISSING_PDF,YES,NO,NO,
26300260,MISSING_PDF,YES,NO,NO,
26300261,MISSING_PDF,YES,NO,NO,
26300262,MISSING_PDF,YES,NO,NO,
26300263,MISSING_PDF,YES,NO,NO,
26300264,MISSING_PDF,YES,NO,NO,
26300265,MISSING_PDF,YES,NO,NO,
26300266,MISSING_PDF,YES,NO,NO,
